id,en,zh,lzh,ja,ru
当前位置检测到已存在的存档文件，删除后将无法恢复，你确定要删除该存档么?,"An existing save file was found here. If deleted, it cannot be restored. Delete this save?",当前位置检测到已存在的存档文件，删除后将无法恢复，你确定要删除该存档么?,目前位置檢測到已存在的存檔檔案，刪除後將無法恢復，你確定要刪除該存檔嗎?,現在位置に既存のセーブデータがあります。削除すると復元できません。このセーブを削除しますか？,В этой ячейке уже есть сохранение. После удаления его нельзя восстановить. Удалить это сохранение?
确定删除,Confirm Delete,确定删除,確定刪除,削除する,Удалить
取消删除,Cancel Delete,取消删除,取消刪除,削除を取消,Отмена
当前位置存档已删除！,Save deleted at this slot.,当前位置存档已删除！,目前位置存檔已刪除！,現在位置のセーブを削除しました！,Сохранение в текущей ячейке удалено!
提示: {{tr(GameManager.sav.WAIDIPAI._name)}}对你的忠诚度下降{{GameManager.resideValue}}点。,Notice: {{tr(GameManager.sav.WAIDIPAI._name)}} loyalty to you decreased by {{GameManager.resideValue}}.,提示: {{tr(GameManager.sav.WAIDIPAI._name)}}对你的忠诚度下降{{GameManager.resideValue}}点。,提示: {{tr(GameManager.sav.WAIDIPAI._name)}}對你的忠誠度下降{{GameManager.resideValue}}點。,提示: {{tr(GameManager.sav.WAIDIPAI._name)}}の忠誠度が{{GameManager.resideValue}}低下。,Подсказка: верность {{tr(GameManager.sav.WAIDIPAI._name)}} к вам снизилась на {{GameManager.resideValue}}.
徐州城内民心下降{{GameManager.resideValue - 5}}点,Public Support in Xuzhou decreased by {{GameManager.resideValue - 5}}.,徐州城内民心下降{{GameManager.resideValue - 5}}点,徐州城內民心下降{{GameManager.resideValue - 5}}點,徐州城内の民心が{{GameManager.resideValue - 5}}低下,Настроения жителей Сюйчжоу снизились на {{GameManager.resideValue - 5}}
曹操麾下夏侯惇将军率精骑前来相助，他已将吕布自张扬处购得的那数百匹良马的消息一并带来。他还携一封曹操亲笔密信，言明此信非主公亲手拆阅不可,"General Xiahou Dun, under Cao Cao's command, has arrived with elite cavalry to aid you. He also brings news of the several hundred fine horses Lu Bu purchased from Zhang Yang, along with a sealed personal letter from Cao Cao, marked for your eyes alone.",曹操麾下夏侯惇将军率精骑前来相助，他已将吕布自张扬处购得的那数百匹良马的消息一并带来。他还携一封曹操亲笔密信，言明此信非主公亲手拆阅不可,曹操麾下夏侯惇將軍率精騎前來相助，他已將呂布自張揚處購得的那數百匹良馬的消息一併帶來。他還攜一封曹操親筆密信，言明此信非主公親手拆閱不可,曹操配下の夏侯惇将軍が精騎を率いて援軍に来た。呂布が張楊から買い入れた数百頭の良馬の情報も携えている。さらに曹操直筆の密書を持参し、この書は主君自ら開封せよと言い含めていた。,"Генерал Сяхоу Дунь, служащий Цао Цао, прибыл с отрядом отборной конницы. Он также привёз сведения о нескольких сотнях добрых коней, которых Люй Бу купил у Чжан Яна. При нём было и тайное письмо, написанное рукой Цао Цао: вскрыть его должен только господин лично."
刘备读罢密信，久久无言，缓缓将信纸合拢，眼中闪过一丝复杂的光芒。,"After reading the secret letter, Liu Bei remained silent for a long while. He slowly folded it shut, a complicated look flashing through his eyes.",刘备读罢密信，久久无言，缓缓将信纸合拢，眼中闪过一丝复杂的光芒。,劉備讀罷密信，久久無言，緩緩將信紙合攏，眼中閃過一絲複雜的光芒。,劉備は密書を読み終えると、長く無言のまま、ゆっくりと紙を閉じた。その目には複雑な光がかすかに宿った。,"Лю Бэй прочёл тайное письмо, долго молчал, затем медленно сложил лист. В его глазах мелькнул сложный, трудно уловимый блеск."
（曹操挟天子以令诸侯，徐州不过是他布下的棋盘；袁绍坐拥四州，倒也如同曹操所说，可能也无匡扶天下之心。两人迟早反目成仇，到那时无论我助曹还是投袁，最终都不过是成为他们争霸天下的牺牲品——大汉的未来，不能寄望于他们。）,"(Cao Cao holds the Emperor to command the lords; Xuzhou is merely a board he has laid out. Yuan Shao commands four provinces, yet as Cao Cao said, he may have no true wish to restore the realm. The two will turn on each other sooner or later. When that day comes, whether I aid Cao or join Yuan, I would only become a sacrifice in their struggle for supremacy. The future of the Han cannot rest on them.)",（曹操挟天子以令诸侯，徐州不过是他布下的棋盘；袁绍坐拥四州，倒也如同曹操所说，可能也无匡扶天下之心。两人迟早反目成仇，到那时无论我助曹还是投袁，最终都不过是成为他们争霸天下的牺牲品——大汉的未来，不能寄望于他们。）,（曹操挾天子以令諸侯，徐州不過是他佈下的棋盤；袁紹坐擁四州，倒也如同曹操所說，可能也無匡扶天下之心。兩人遲早反目成仇，到那時無論我助曹還是投袁，最終都不過是成為他們爭霸天下的犧牲品——大漢的未來，不能寄望於他們。）,（曹操は天子を奉じて諸侯に号令し、徐州は彼が敷いた盤上にすぎない。袁紹は四州を擁するが、曹操の言う通り、天下を扶ける志などないのかもしれぬ。二人はいずれ反目する。その時、曹を助けようと袁に投じようと、結局は天下争覇の犠牲となるだけだ。大漢の未来を彼らに託すことはできない。）,"（Цао Цао держит императора и от его имени повелевает князьями. Сюйчжоу для него лишь расставленная доска. Юань Шао владеет четырьмя областями, но, как и сказал Цао Цао, возможно, тоже не имеет сердца спасти Поднебесную. Эти двое рано или поздно станут врагами. И тогда, помогу ли я Цао или примкну к Юаню, всё равно стану жертвой их борьбы за власть. Будущее Великой Хань нельзя возлагать на них.）"
（从前我只求立足徐州、存身小沛，如今方知，真正的匡汉大业，既不容假手于人，更不容再做他人棋盘上的棋子。既如此，从今往后，我刘玄德当聚豪杰、练精兵、收民心，一步一步，亲手打出一片属于自己的江山——汉室复兴，终究只能由我自己来完成。）,"(Once, I only sought a foothold in Xuzhou and shelter in Xiaopei. Now I understand: the great cause of restoring the Han cannot be entrusted to others, nor can I remain a pawn on another man's board. From this day on, I, Liu Xuande, shall gather heroes, train elite troops, win the people's hearts, and step by step carve out a realm of my own. The Han restoration must, in the end, be completed by my own hand.)",（从前我只求立足徐州、存身小沛，如今方知，真正的匡汉大业，既不容假手于人，更不容再做他人棋盘上的棋子。既如此，从今往后，我刘玄德当聚豪杰、练精兵、收民心，一步一步，亲手打出一片属于自己的江山——汉室复兴，终究只能由我自己来完成。）,（從前我只求立足徐州、存身小沛，如今方知，真正的匡漢大業，既不容假手於人，更不容再做他人棋盤上的棋子。既如此，從今往後，我劉玄德當聚豪傑、練精兵、收民心，一步一步，親手打出一片屬於自己的江山——漢室復興，終究只能由我自己來完成。）,（かつては徐州に根を張り、小沛に身を置ければよいと思っていた。だが今は分かる。真に漢を扶ける大業は、人任せにもできず、他人の盤上の駒であり続けることもできぬ。ならばこれより我が劉玄徳は、豪傑を集め、精兵を鍛え、民心を得て、一歩ずつ自らの手で自分の天下を切り開く。漢室の復興は、結局この私が成し遂げるしかない。）,"（Прежде я желал лишь закрепиться в Сюйчжоу и выжить в Сяопэе. Теперь понимаю: истинное дело спасения Хань нельзя поручать чужим рукам, как нельзя и дальше быть фигурой на чужой доске. Раз так, отныне я, Лю Сюаньдэ, соберу героев, обучу сильное войско, завоюю сердца народа и шаг за шагом собственными руками выбью себе землю. Возрождение дома Хань в конце концов должен совершить я сам.）"
